562	8838	17
26687	8192	7
366	9276	6
197	143	2
13294	907	18
1604	309	12
131	428	10
109	4732	13
115	4076	0
5128	8581	7
101	8641	1
314	9652	9
6984	2787	3
15265	342	16
384	1556	15
1239	8733	38
16	2450	5
9342	1717	1
120	5036	24
790	3825	6
898	9562	6
125	3290	14
12	7945	17
109	6904	22
12	5160	20
153	4755	2
113	6625	4
6031	4008	8
12	5581	8
20761	6016	1
4533	8592	30
1320	5881	4
108	6812	16
4335	9150	23
184	2003	4
12079	7931	10
109	1087	19
437	973	7
1449	8712	9
117	1632	4
12	6209	5
4672	7883	20
547	4772	25
340	3908	11
14539	2044	0
16212	1093	3
7654	4831	8
862	538	11
294	8630	12
808	1334	7
627	6231	17
105	1956	3
117	6752	1
888	3778	9
3102	6626	10
198	2281	9
12	3495	5
102	3851	16
749	3397	34
6046	5511	7
184	7197	3
5582	5402	15
116	9732	4
108	3160	12
9	1644	15
853	1103	6
14	3998	3
14	5334	18
198	3281	13
135	2693	11
149	8934	6
164	3250	7
107	8960	2
17915	5075	27
32948	8888	15
421	1114	14
103	6974	6
591	433	22
6288	998	25
831	216	14
461	2311	2
126	5421	15
794	3271	19
101	2555	7
26486	5629	14
302	8018	3
1613	1041	5
26445	8897	17
12	2619	11
12770	429	11
182	4607	0
12	7095	3
5407	7030	14
1662	9968	0
329	1992	20
1010	9188	1
112	1679	16
110	4327	6
1873	8306	31
14	1500	12
101	6832	15
336	1619	27
12	412	24
30171	2233	6
132	8143	1
143	2929	5
134	1901	0
23035	1842	10
14	5649	18
126	2349	10
102	1883	17
1143	8406	11
12	5243	12
7295	4436	4
102	4348	7
5092	1461	26
106	2829	26
8138	8251	5
105	191	15
137	462	15
109	2406	16
12	413	12
123	2639	11
12	2748	9
19203	2646	1
215	7156	12
20419	4045	2
284	4928	1
16203	3206	18
5429	3	9
16465	4418	2
191	7216	8
103	8797	6
236	9307	2
1455	6723	2
327	875	4
139	262	3
3206	6457	12
4496	8435	15
141	1302	12
34012	1425	21
1200	5400	2
14	4285	14
101	9598	7
259	5098	12
2133	5089	3
345	4157	11
104	8246	12
12	8560	9
25100	5712	11
19689	931	11
22065	2413	16
32003	3418	1
106	3851	8
118	9183	7
108	6982	14
18716	6810	2
181	5979	0
4025	5283	2
5032	5892	13
193	5620	13
39	9621	0
1508	6196	19
115	3475	0
115	3924	0
12	4347	8
109	840	5
16571	5220	0
269	4959	8
14	7152	17
21713	2717	1
108	3458	18
221	6231	9
1908	9460	3
121	47	4
123	6285	5
173	7398	6
2103	7350	13
3389	2843	11
101	8349	9
141	245	2
8305	2760	1
253	3348	8
21	8747	22
15697	9588	10
5648	278	7
31632	9890	19
30001	1782	8
257	2659	6
122	6413	11
310	2922	18
101	1181	6
209	9241	5
125	7109	24
103	5145	17
179	2224	1
103	7901	8
